MolClin	RefNo	InvNo	OrderNo	Prefix	Gene	Suffix
C	8533	1	2		ETV6	+
C	8533	1	3		RUNX1	+
C	8538	1	1	+	KMT2A	
C	8538	2	1	+	KMT2A	
C	8578	1	1		ETV6/RUNX1	
C	8578	1	2		ETV6	+
C	8578	1	3		RUNX1	+
C	8579	1	1		SS18/SSX1	
C	8579	1	2		SS18	+
C	8579	1	3		SSX1	+
C	8579	1	4		SS18/SSX2	
C	8579	1	5		SS18	+
C	8579	1	6		SSX2	+
C	8598	1	1		IGH/MYC	
C	8598	1	2		IGH	+
C	8598	1	3		MYC	+
C	8617	1	1		HMGA2	+
C	8692	1	1		NPM1/RARA	
C	8692	1	2		NPM1	+
C	8692	1	3		RARA	+
C	8692	1	4		PML/RARA	
C	8692	1	5		PML	+
C	8692	1	6		RARA	+
C	8692	1	7		ZBTB16/RARA	
C	8692	1	8		ZBTB16	+
C	8692	1	9		RARA	+
C	8696	1	1		SS18/SSX1	
C	8696	1	2		SS18	+
C	8696	1	3		SSX1	+
C	8696	1	4		SS18/SSX2	
C	8696	1	5		SS18	+
C	8696	1	6		SSX2	+
C	8809	1	1		BCL6	+
C	8824	1	1		IGH/CCND1	
C	8824	1	2		IGH	+
C	8824	1	3		CCND1	+
C	8837	1	1		ETV6/RUNX1	
C	8837	1	2		ETV6	+
C	8837	1	3		RUNX1	+
C	8894	1	1		IGH/CCND1	
C	8894	1	2		IGH	+
C	8894	1	3		CCND1	+
C	8939	1	1		KMT2A	+
C	8939	2	1		KMT2A	+
C	8949	1	1		ETV6/RUNX1	
C	8949	1	2		ETV6	+
C	8949	1	3		RUNX1	+
C	9007	1	1		BCL2	+
C	9063	1	1		SS18/SSX1	
C	9063	1	2		SS18	+
C	9063	1	3		SSX1	+
C	9063	1	4		SS18/SSX2	
C	9063	1	5		SS18	+
C	9063	1	6		SSX2	+
C	9068	1	1		KMT2A/AFF1	
C	9068	1	2		KMT2A	+
C	9068	1	3		AFF1	+
C	9070	1	1		DDIT3	+
C	9070	1	2		EWSR1/DDIT3	
C	9070	1	3		EWSR1	+
C	9070	1	4		DDIT3	+
C	9070	1	5		FUS/DDIT3	
C	9070	1	6		FUS	+
C	9070	1	7		DDIT3	+
C	9081	1	1		RUNX1/RUNX1T1	
C	9081	1	2		RUNX1	+
C	9081	1	3		RUNX1T1	+
C	9159	1	1		BCR/ABL1	
C	9159	1	2		BCR	+
C	9159	1	3		ABL1	+
C	9160	1	1		BCR/ABL1	
C	9160	1	2		BCR	+
C	9160	1	3		ABL1	+
C	9172	1	1		ETV6/RUNX1	
C	9172	1	2		ETV6	+
C	9172	1	3		RUNX1	+
C	9175	1	1		ETV6/RUNX1	
C	9175	1	2		ETV6	+
C	9175	1	3		RUNX1	+
C	9177	1	1		EWSR1/FLI1	
C	9177	1	2		EWSR1	+
C	9177	1	3		FLI1	+
C	9191	1	1		ETV6	+
C	9197	1	1		ETV6/RUNX1	
C	9197	1	2		ETV6	+
C	9197	1	3		RUNX1	+
C	9208	1	1		BIRC3/MALT1	
C	9208	1	2		BIRC3	+
C	9208	1	3		MALT1	+
C	9256	1	1		BCR/ABL1	
C	9256	1	2		BCR	+
C	9256	1	3		ABL1	+
C	9265	1	1		ASPSCR1/TFE3	
C	9265	1	2		ASPSCR1	+
C	9265	1	3		TFE3	+
C	9270	1	1		BCR/ABL1	
C	9270	1	2		BCR	+
C	9270	1	3		ABL1	+
C	9283	1	1		PML/RARA	
C	9283	1	2		PML	+
C	9283	1	3		RARA	+
C	9295	1	1		PAX3/FOXO1	
C	9295	1	2		PAX3	+
C	9295	1	3		FOXO1	+
C	9295	1	4		PAX7/FOXO1	
C	9295	1	5		PAX7	+
C	9295	1	6		FOXO1	+
C	9303	1	1		BCR/ABL1	
C	9303	1	2		BCR	+
C	9303	1	3		ABL1	+
C	9330	1	1		BCL6	+
C	9353	1	1		ETV6/RUNX1	
C	9353	1	2		ETV6	+
C	9353	1	3		RUNX1	+
C	9365	1	1		PAX3/FOXO1	
C	9365	1	2		PAX3	+
C	9365	1	3		FOXO1	+
C	9365	1	4		PAX7/FOXO1	
C	9365	1	5		PAX7	+
C	9365	1	6		FOXO1	+
C	9465	1	1		FUS/DDIT3	
C	9465	1	2		FUS	+
C	9465	1	3		DDIT3	+
C	9470	1	1		BCR/ABL1	
C	9470	1	2		BCR	+
C	9470	1	3		ABL1	+
C	9479	1	1		BCR/ABL1	
C	9479	1	2		BCR	+
C	9479	1	3		ABL1	+
C	9486	1	1		KMT2A	+
C	9491	1	1		SS18/SSX1	
C	9491	1	2		SS18	+
C	9491	1	3		SSX1	+
C	9491	1	4		SS18/SSX2	
